STATE,TOTAL VOTES,FRANKLIN D. ROOSEVELT VOTES,FRANKLIN D. ROOSEVELT %,FRANKLIN D. ROOSEVELT EV,THOMAS E. DEWEY VOTES,THOMAS E. DEWEY %,THOMAS E. DEWEY EV
Alabama,244743,198918,81.3,11,44540,18.2,
Arizona,137634,80926,58.8,4,56287,40.9,
Arkansas,212954,148965,70.0,9,63551,29.8,
California,3520875,1988564,56.5,25,1512965,43.0,
Colorado,505039,234331,46.4,,268731,53.2,6
Connecticut,831990,435146,52.3,8,390527,46.9,
Delaware,125361,68166,54.4,3,56747,45.3,
Florida,482803,339377,70.3,8,143215,29.7,
Georgia,328129,268187,81.7,12,56506,17.2,
Idaho,208321,107399,51.6,4,100137,48.1,
Illinois,4036061,2079479,51.5,28,1939314,48.0,
Indiana,1672091,781403,46.7,,875891,52.4,13
Iowa,1052599,499876,47.5,,547267,52.0,10
Kansas,733776,287458,39.2,,442096,60.2,8
Kentucky,867924,472589,54.5,11,392448,45.2,
Louisiana,349383,281564,80.6,10,67750,19.4,
Maine,296400,140631,47.4,,155434,52.4,5
Maryland,608439,315490,51.9,8,292949,48.1,
Massachusetts,1960665,1035296,52.8,16,921350,47.0,
Michigan,2205223,1106899,50.2,19,1084423,49.2,
Minnesota,1125504,589864,52.4,11,527416,46.9,
Mississippi,180234,168621,93.6,9,11613,6.4,
Missouri,1571697,807356,51.4,15,761175,48.4,
Montana,207355,112556,54.3,4,93163,44.9,
Nebraska,563126,233246,41.4,,329880,58.6,6
Nevada,54234,29623,54.6,3,24611,45.4,
New Hampshire,229625,119663,52.1,4,109916,47.9,
New Jersey,1963761,987874,50.3,16,961335,49.0,
New Mexico,152225,81389,53.5,4,70688,46.4,
New York,6316790,3304238,52.3,47,2987647,47.3,
North Carolina,790554,527399,66.7,14,263155,33.3,
North Dakota,220182,100144,45.5,,118535,53.8,4
Ohio,3153056,1570763,49.8,,1582293,50.2,25
Oklahoma,722636,401549,55.6,10,319424,44.2,
Oregon,480147,248635,51.8,6,225365,46.9,
Pennsylvania,3794793,1940479,51.1,35,1835054,48.4,
Rhode Island,299276,175356,58.6,4,123487,41.3,
South Carolina,103382,90601,87.6,8,4554,4.4,
South Dakota,232076,96711,41.7,,135365,58.3,4
Tennessee,510692,308707,60.4,12,200311,39.2,
Texas,1150334,821605,71.4,23,191423,16.6,
Utah,248319,150088,60.4,4,97891,39.4,
Vermont,125361,53820,42.9,,71527,57.1,3
Virginia,388485,242276,62.4,11,145243,37.4,
Washington,856328,486774,56.8,8,361689,42.2,
West Virginia,715596,392777,54.9,8,322819,45.1,
Wisconsin,1339152,650413,48.6,,674532,50.4,12
Wyoming,101340,49419,48.8,,51921,51.2,3
Total,47976670,25612610,53.4,432,22014160,45.9,99
 , , , ,, , ,
