STATE,TOTAL VOTES,HARRY S TRUMAN VOTES,HARRY S TRUMAN %,HARRY S TRUMAN EV,THOMAS E. DEWEY VOTES,THOMAS E. DEWEY %,THOMAS E. DEWEY EV,STROM THURMOND VOTES,STROM THURMOND %,STROM THURMOND EV
Alabama,214980,0,0.0,,40930,19.0,,171443,79.7,11
Arizona,177065,95251,53.8,4,77597,43.8,,0,0.0, 
Arkansas,242475,149659,61.7,9,50959,21.0,,40068,16.5, 
California,4021538,1913134,47.6,25,1895269,47.1,,1228,0.0, 
Colorado,515237,267288,51.9,6,239714,46.5,,0,0.0, 
Connecticut,883518,423297,47.9,,437754,49.5,8,0,0.0, 
Delaware,139073,67813,48.8,,69588,50.0,3,0,0.0, 
Florida,577643,281988,48.8,8,194280,33.6,,89755,15.5, 
Georgia,418844,254646,60.8,12,76691,18.3,,85135,20.3, 
Idaho,214816,107370,50.0,4,101514,47.3,,0,0.0, 
Illinois,3984046,1994715,50.1,28,1961103,49.2,,0,0.0, 
Indiana,1656212,807831,48.8,,821079,49.6,13,0,0.0, 
Iowa,1038264,522380,50.3,10,494018,47.6,,0,0.0, 
Kansas,788819,351902,44.6,,423039,53.6,8,0,0.0, 
Kentucky,822658,466756,56.7,11,341210,41.5,,10411,1.3, 
Louisiana,416336,136344,32.7,,72657,17.5,,204290,49.1,10
Maine,264787,111916,42.3,,150234,56.7,5,0,0.0, 
Maryland,596748,286521,48.0,,294814,49.4,8,2489,0.4, 
Massachusetts,2107146,1151788,54.7,16,909370,43.2,,0,0.0, 
Michigan,2109609,1003448,47.6,,1038595,49.2,19,0,0.0, 
Minnesota,1212226,692966,57.2,11,483617,39.9,,0,0.0, 
Mississippi,192190,19384,10.1,,5043,2.6,,167538,87.2,9
Missouri,1578628,917315,58.1,15,655039,41.5,,0,0.0, 
Montana,224278,119071,53.1,4,96770,43.1,,0,0.0, 
Nebraska,488940,224165,45.8,,264774,54.2,6,0,0.0, 
Nevada,62117,31291,50.4,3,29357,47.3,,0,0.0, 
New Hampshire,231440,107995,46.7,,121299,52.4,4,7,0.0, 
New Jersey,1949555,895455,45.9,,981124,50.3,16,0,0.0, 
New Mexico,187063,105464,56.4,4,80303,42.9,,0,0.0, 
New York,6177337,2780204,45.0,,2841163,46.0,47,0,0.0, 
North Carolina,791209,459070,58.0,14,258572,32.7,,69652,8.8, 
North Dakota,220716,95812,43.4,,115139,52.2,4,374,0.2, 
Ohio,2936071,1452791,49.5,25,1445684,49.2,,0,0.0, 
Oklahoma,721599,452782,62.7,10,268817,37.3,,0,0.0, 
Oregon,524080,243147,46.4,,260904,49.8,6,0,0.0, 
Pennsylvania,3735348,1752426,46.9,,1902197,50.9,35,0,0.0, 
Rhode Island,327702,188736,57.6,4,135787,41.4,,0,0.0, 
South Carolina,142571,34423,24.1,,5386,3.8,,102607,72.0,8
South Dakota,250105,117653,47.0,,129651,51.8,4,0,0.0, 
Tennessee,550283,270402,49.1,11,202914,36.9,,73815,13.4,1
Texas,1147245,750700,65.4,23,282240,24.6,,106909,9.3, 
Utah,276306,149151,54.0,4,124402,45.0,,0,0.0, 
Vermont,123382,45557,36.9,,75926,61.5,3,0,0.0, 
Virginia,419256,200786,47.9,11,172070,41.0,,43393,10.4, 
Washington,905058,476165,52.6,8,386314,42.7,,0,0.0, 
West Virginia,748750,429188,57.3,8,316251,42.2,,0,0.0, 
Wisconsin,1276800,647310,50.7,12,590959,46.3,,0,0.0, 
Wyoming,101425,52354,51.6,3,47947,47.3,,0,0.0, 
Totals,48691494,24105810,49.5,303,21970064,45.1,189,1169114,2.4,39
