STATE,TOTAL VOTES,DWIGHT D. EISENHOWER VOTES,DWIGHT D. EISENHOWER %,DWIGHT D. EISENHOWER EV,ADLAI E. STEVENSON VOTES,ADLAI E. STEVENSON %,ADLAI E. STEVENSON EV
Alabama,426120,149231,35.0,,275075,64.6,11
Arizona,260570,152042,58.3,4,108528,41.7,
Arkansas,404800,177155,43.8,,226300,55.9,8
California,5141849,2897310,56.3,32,2197548,42.7,
Colorado,630103,379782,60.3,6,245504,39.0,
Connecticut,1096911,611012,55.7,8,481649,43.9,
Delaware,174025,90059,51.8,3,83315,47.9,
Florida,989337,544036,55.0,10,444950,45.0,
Georgia,655785,198961,30.3,,456823,69.7,12
Idaho,276254,180707,65.4,4,95081,34.4,
Illinois,4481058,2457327,54.8,27,2013920,44.9,
Indiana,1955049,1136259,58.1,13,801530,41.0,
Iowa,1268773,808906,63.8,10,451513,35.6,
Kansas,896166,616302,68.8,8,273296,30.5,
Kentucky,993148,495029,49.8,,495729,49.9,10
Louisiana,651952,306925,47.1,,345027,52.9,10
Maine,351786,232353,66.0,5,118806,33.8,
Maryland,902074,499424,55.4,9,395337,43.8,
Massachusetts,2383398,1292325,54.2,16,1083525,45.5,
Michigan,2798592,1551529,55.4,20,1230657,44.0,
Minnesota,1379483,763211,55.3,11,608458,44.1,
Mississippi,285532,112966,39.6,,172566,60.4,8
Missouri,1892062,959429,50.7,13,929830,49.1,
Montana,265037,157394,59.4,4,106213,40.1,
Nebraska,609660,421603,69.2,6,188057,30.8,
Nevada,82190,50502,61.4,3,31688,38.6,
New Hampshire,272950,166287,60.9,4,106663,39.1,
New Jersey,2418554,1373613,56.8,16,1015902,42.0,
New Mexico,238608,132170,55.4,4,105661,44.3,
New York,7128239,3952813,55.5,45,3104601,43.6,
North Carolina,1210910,558107,46.1,,652803,53.9,14
North Dakota,270127,191712,71.0,4,76694,28.4,
Ohio,3700758,2100391,56.8,25,1600367,43.2,
Oklahoma,948984,518045,54.6,8,430939,45.4,
Oregon,695059,420815,60.5,6,270579,38.9,
Pennsylvania,4580969,2415789,52.7,32,2146269,46.9,
Rhode Island,414498,210935,50.9,4,203293,49.0,
South Carolina,341087,9793,2.9,,173004,50.7,8
South Dakota,294283,203857,69.3,4,90426,30.7,
Tennessee,892553,446147,50.0,11,443710,49.7,
Texas,2075946,1102878,53.1,24,969228,46.7,
Utah,329554,194190,58.9,4,135364,41.1,
Vermont,153557,109717,71.5,3,43355,28.2,
Virginia,619689,349037,56.3,12,268677,43.4,
Washington,1102708,599107,54.3,9,492845,44.7,
West Virginia,873548,419970,48.1,,453578,51.9,8
Wisconsin,1607370,979744,61.0,12,622175,38.7,
Wyoming,129253,81049,62.7,3,47934,37.1,
Totals,61550918,33777945,54.9,442,27314992,44.4,89
