STATE,TOTAL VOTES,JOHN F. KENNEDY VOTES,JOHN F. KENNEDY %,JOHN F. KENNEDY EV,RICHARD M. NIXON VOTES,RICHARD M. NIXON %,RICHARD M. NIXON EV
Alabama,570225,324050,56.8,5,237981,41.7,
Alaska,60762,29809,49.1,,30953,50.9,3
Arizona,398491,176781,44.4,,221241,55.5,4
Arkansas,428509,215049,50.2,8,184508,43.1,
California,6506578,3224099,49.6,,3259722,50.1,32
Colorado,736236,330629,44.9,,402242,54.6,6
Connecticut,1222883,657055,53.7,8,565813,46.3,
Delaware,196683,99590,50.6,3,96373,49.0,
Florida,1544176,748700,48.5,,795476,51.5,10
Georgia,733349,458638,62.5,12,274472,37.4,
Hawaii,184705,92410,50.0,3,92295,50.0,
Idaho,300450,138853,46.2,,161597,53.8,4
Illinois,4757409,2377846,50.0,27,2368988,49.8,
Indiana,2135360,952358,44.6,,1175120,55.0,13
Iowa,1273810,550565,43.2,,722381,56.7,10
Kansas,928825,363213,39.1,,561474,60.4,8
Kentucky,1124462,521855,46.4,,602607,53.6,10
Louisiana,807891,407339,50.4,10,230980,28.6,
Maine,421767,181159,43.0,,240608,57.0,5
Maryland,1055349,565808,53.6,9,489538,46.4,
Massachusetts,2469480,1487174,60.2,16,976750,39.6,
Michigan,3318097,1687269,50.9,20,1620428,48.8,
Minnesota,1541887,779933,50.6,11,757915,49.2,
Mississippi*,298171,108362,36.3,*,73561,24.7,*
Missouri,1934422,972201,50.3,13,962221,49.7,
Montana,277579,134891,48.6,,141841,51.1,4
Nebraska,613095,232542,37.9,,380553,62.1,6
Nevada,107267,54880,51.2,3,52387,48.8,
New Hampshire,295761,137772,46.6,,157989,53.4,4
New Jersey,2773111,1385415,50.0,16,1363324,49.2,
New Mexico,311107,156027,50.2,4,153733,49.4,
New York,7291079,3830085,52.5,45,3446419,47.3,
North Carolina,1368556,713136,52.1,14,655420,47.9,
North Dakota,278431,123963,44.5,,154310,55.4,4
Ohio,4161859,1944248,46.7,,2217611,53.3,25
Oklahoma*,903150,370111,41.0,,533039,59.0,7*
Oregon,776421,367402,47.3,,408060,52.6,6
Pennsylvania,5006541,2556282,51.1,32,2439956,48.7,
Rhode Island,405535,258032,63.6,4,147502,36.4,
South Carolina,386688,198129,51.2,8,188558,48.8,
South Dakota,306487,128070,41.8,,178417,58.2,4
Tennessee,1051792,481453,45.8,,556577,52.9,11
Texas,2311084,1167567,50.5,24,1121310,48.5,
Utah,374709,169248,45.2,,205361,54.8,4
Vermont,167324,69186,41.3,,98131,58.6,3
Virginia,771449,362327,47.0,,404521,52.4,12
Washington,1241572,599298,48.3,,629273,50.7,9
West Virginia,837781,441786,52.7,8,395995,47.3,
Wisconsin,1729082,830805,48.0,,895175,51.8,12
Wyoming,140782,63331,45.0,,77451,55.0,3
Totals,68838219,34226731,49.7,303,34108157,49.5,219
