STATE,TOTAL VOTES,LYNDON B. JOHNSON VOTES,LYNDON B. JOHNSON %,LYNDON B. JOHNSON EV,BARRY M. GOLDWATER VOTES,BARRY M. GOLDWATER %,BARRY M. GOLDWATER EV
Alabama,689818,,0.0,,479085,69.5,10
Alaska,67259,44329,65.9,3,22930,34.1,
Arizona,480770,237753,49.5,,242535,50.4,5
Arkansas,560426,314197,56.1,6,243264,43.4,
California,7057586,4171877,59.1,40,2879108,40.8,
Colorado,776986,476024,61.3,6,296767,38.2,
Connecticut,1218578,826269,67.8,8,390996,32.1,
Delaware,201320,122704,60.9,3,78078,38.8,
Florida,1854481,948540,51.1,14,905941,48.9,
Georgia,1139335,522556,45.9,,616584,54.1,12
Hawaii,207271,163249,78.8,4,44022,21.2,
Idaho,292477,148920,50.9,4,143557,49.1,
Illinois,4702841,2796833,59.5,26,1905946,40.5,
Indiana,2091606,1170848,56.0,13,911118,43.6,
Iowa,1184539,733030,61.9,9,449148,37.9,
Kansas,857901,464028,54.1,7,386579,45.1,
Kentucky,1046105,669659,64.0,9,372977,35.7,
Louisiana,896293,387068,43.2,,509225,56.8,10
Maine,380965,262264,68.8,4,118701,31.2,
Maryland,1116457,730912,65.5,10,385495,34.5,
Massachusetts,2344798,1786422,76.2,14,549727,23.4,
Michigan,3203102,2136615,66.7,21,1060152,33.1,
Minnesota,1554462,991117,63.8,10,559624,36.0,
Mississippi,409146,52618,12.9,,356528,87.1,7
Missouri,1817879,1164344,64.0,12,653535,36.0,
Montana,278628,164246,58.9,4,113032,40.6,
Nebraska,584154,307307,52.6,5,276847,47.4,
Nevada,135433,79339,58.6,3,56094,41.4,
New Hampshire,288093,184064,63.9,4,104029,36.1,
New Jersey,2847663,1868231,65.6,17,964174,33.9,
New Mexico,328645,194015,59.0,4,132838,40.4,
New York,7166275,4913102,68.6,43,2243559,31.3,
North Carolina,1424983,800139,56.2,13,624844,43.8,
North Dakota,258389,149784,58.0,4,108207,41.9,
Ohio,3969196,2498331,62.9,26,1470865,37.1,
Oklahoma,932499,519834,55.7,8,412665,44.3,
Oregon,786305,501017,63.7,6,282779,36.0,
Pennsylvania,4822690,3130954,64.9,29,1673657,34.7,
Rhode Island,390091,315463,80.9,4,74615,19.1,
South Carolina,524779,215723,41.1,,309048,58.9,8
South Dakota,293118,163010,55.6,4,130108,44.4,
Tennessee,1143946,634947,55.5,11,508965,44.5,
Texas,2626811,1663185,63.3,25,958566,36.5,
Utah,401413,219628,54.7,4,181785,45.3,
Vermont,163089,108127,66.3,3,54942,33.7,
Virginia,1042267,558038,53.5,12,481334,46.2,
Washington,1258556,779881,62.0,9,470366,37.4,
West Virginia,792040,538087,67.9,7,253953,32.1,
Wisconsin,1691815,1050424,62.1,12,638495,37.7,
Wyoming,142716,80718,56.6,3,61998,43.4,
Totals,70644592,43129566,61.1,486,27178188,38.5,52
