STATE,TOTAL VOTES,RICHARD M. NIXON VOTES,RICHARD M. NIXON %,RICHARD M. NIXON EV,HUBERT HUMPHREY VOTES,HUBERT HUMPHREY %,HUBERT HUMPHREY EV,GEORGE WALLACE VOTES,GEORGE WALLACE %,GEORGE WALLACE EV
Alabama,1049922,146923,14.0,,196579,18.7,,691425,65.9,10
Alaska,83035,37600,45.3,3,35411,42.6,,10024,12.1, 
Arizona,486936,266721,54.8,5,170514,35.0,,46573,9.6, 
Arkansas,619969,190759,30.8,,188228,30.4,,240982,38.9,6
California,7251587,3467664,47.8,40,3244318,44.7,,487270,6.7, 
Colorado,811199,409345,50.5,6,335174,41.3,,60813,7.5, 
Connecticut,1256232,556721,44.3,,621561,49.5,8,76650,6.1, 
Delaware,214367,96714,45.1,3,89194,41.6,,28459,13.3, 
Florida,2187805,886804,40.5,14,676794,30.9,,624207,28.5, 
Georgia,1250266,380111,30.4,,334440,26.7,,535550,42.8,12
Hawaii,236218,91425,38.7,,141324,59.8,4,3469,1.5, 
Idaho,291183,165369,56.8,4,89273,30.7,,36541,12.5, 
Illinois,4619749,2174774,47.1,26,2039814,44.2,,390958,8.5, 
Indiana,2123597,1067885,50.3,13,806659,38.0,,243108,11.4, 
Iowa,1167931,619106,53.0,9,476699,40.8,,66422,5.7, 
Kansas,872783,478674,54.8,7,302996,34.7,,88921,10.2, 
Kentucky,1055893,462411,43.8,9,397541,37.6,,193098,18.3, 
Louisiana,1097450,257535,23.5,,309615,28.2,,530300,48.3,10
Maine,392936,169254,43.1,,217312,55.3,4,6370,1.6, 
Maryland,1235039,517995,41.9,,538310,43.6,10,178734,14.5, 
Massachusetts,2331752,766844,32.9,,1469218,63.0,14,87088,3.7, 
Michigan,3306250,1370665,41.5,,1593082,48.2,21,331968,10.0, 
Minnesota,1588506,658643,41.5,,857738,54.0,10,68931,4.3, 
Mississippi,654509,88516,13.5,,150644,23.0,,415349,63.5,7
Missouri,1809502,811932,44.9,12,791444,43.7,,206126,11.4, 
Montana,274404,138835,50.6,4,114117,41.6,,20015,7.3, 
Nebraska,536851,321163,59.8,5,170784,31.8,,44904,8.4, 
Nevada,154218,73188,47.5,3,60598,39.3,,20432,13.2, 
New Hampshire,297298,154903,52.1,4,130589,43.9,,11173,3.8, 
New Jersey,2875395,1325467,46.1,17,1264206,44.0,,262187,9.1, 
New Mexico,327350,169692,51.8,4,130081,39.7,,25737,7.9, 
New York,6791688,3007932,44.3,,3378470,49.7,43,358864,5.3, 
North Carolina,1587493,627192,39.5,12,464113,29.2,,496188,31.3,1
North Dakota,247882,138669,55.9,4,94769,38.2,,14244,5.7, 
Ohio,3959698,1791014,45.2,26,1700586,42.9,,467495,11.8, 
Oklahoma,943086,449697,47.7,8,301658,32.0,,191731,20.3, 
Oregon,819622,408433,49.8,6,358866,43.8,,49683,6.1, 
Pennsylvania,4747928,2090017,44.0,,2259405,47.6,29,378582,8.0, 
Rhode Island,385000,122359,31.8,,246518,64.0,4,15678,4.1, 
South Carolina,666978,254062,38.1,8,197486,29.6,,215430,32.3, 
South Dakota,281264,149841,53.3,4,118023,42.0,,13400,4.8, 
Tennessee,1248617,472592,37.8,11,351233,28.1,,424792,34.0, 
Texas,3079216,1227844,39.9,,1266804,41.1,25,584269,19.0, 
Utah,422568,238728,56.5,4,156665,31.1,,26906,6.4, 
Vermont,161404,85142,52.8,3,70255,43.5,,5104,3.2, 
Virginia,1361491,590319,43.4,12,442387,32.5,,321833,23.6, 
Washington,1304281,588510,45.1,,616037,47.2,9,96990,7.4, 
West Virginia,754206,307555,40.8,,374091,49.6,7,72560,9.6, 
Wisconsin,1691538,809997,47.9,12,748804,44.3,,127835,7.6, 
Wyoming,127205,70927,55.8,3,45173,35.5,,11105,8.7, 
Totals,73211875,31785480,43.4,301,31275166,42.7,191,9906473,13.5,46
