STATE,TOTAL VOTES,JIMMY CARTER VOTES,JIMMY CARTER %,JIMMY CARTER EV,GERALD FORD VOTES,GERALD FORD %,GERALD FORD EV
Alabama,1182850,659170,55.7,9,504070,42.6,
Alaska,123574,44058,35.7,,71555,57.9,3
Arizona,742719,295602,39.8,,418642,56.4,6
Arkansas,767535,498604,65.0,6,267903,34.9,
California,7867117,3742284,47.6,,3882244,49.3,45
Colorado,1081554,460353,42.6,,584367,54.0,7
Connecticut,1381526,647895,46.9,,719261,52.1,8
Delaware,235834,122596,52.0,3,109831,46.6,
Florida,3150631,1636000,51.9,17,1469531,46.6,
Georgia,1467458,979409,66.7,12,483743,33.0,
Hawaii,291301,147375,50.6,4,140003,48.1,
Idaho,344071,126549,36.8,,204151,59.3,4
Illinois,4718914,2271295,48.1,,2364269,50.1,26
Indiana,2220362,1014714,45.7,,1183958,53.3,13
Iowa,1279306,619931,48.5,,632863,49.5,8
Kansas,957845,430421,44.9,,502752,52.5,7
Kentucky,1167142,615717,52.8,9,531852,45.6,
Louisiana,1278439,661365,51.7,10,587446,46.0,
Maine,483216,232279,48.1,,236320,48.9,4
Maryland,1439897,759612,52.8,10,672661,46.7,
Massachusetts,2547558,1429475,56.1,14,1030276,40.4,
Michigan,3653749,1696714,46.4,,1893742,51.8,21
Minnesota,1949931,1070440,54.9,10,819395,42.0,
Mississippi,769361,381309,49.6,7,366846,47.7,
Missouri,1953600,998387,51.1,12,927443,47.5,
Montana,328734,149259,45.4,,173703,52.8,4
Nebraska,607668,233692,38.5,,359705,59.2,5
Nevada,201876,92479,45.8,,101273,50.2,3
New Hampshire,339618,147635,43.5,,185935,54.7,4
New Jersey,3014472,1444653,47.9,,1509688,50.1,17
New Mexico,418409,201148,48.1,,211419,50.5,4
New York,6534170,3389558,51.9,41,3100791,47.5,
North Carolina,1678914,927365,55.2,13,741960,44.2,
North Dakota,297188,136078,45.8,,153470,51.6,3
Ohio,4111873,2011621,48.9,25,2000505,48.7,
Oklahoma,1092251,532442,48.7,,545708,50.0,8
Oregon,1029876,490407,47.6,,492120,47.8,6
Pennsylvania,4620787,2328677,50.4,27,2205604,47.7,
Rhode Island,411170,227636,55.4,4,181249,44.1,
South Carolina,802583,450807,56.2,8,346149,43.1,
South Dakota,300678,147068,48.9,,151505,50.4,4
Tennessee,1476345,825879,55.9,10,633969,42.9,
Texas,4071884,2082319,51.1,26,1953300,48.0,
Utah,541198,182110,33.6,,337908,62.4,4
Vermont,187765,80954,43.1,,102085,54.4,3
Virginia,1697094,813896,48.0,,836554,49.3,12
Washington*,1555534,717323,46.1,,777732,50.0,8*
West Virginia,750964,435914,58.0,6,314760,41.9,
Wisconsin,2104175,1040232,49.4,11,1004987,47.8,
Wyoming,156343,62239,39.8,,92717,59.3,3
Totals,81555889,40830763,50.1,297,39147793,48.0,240
