STATE,TOTAL VOTES,RONALD REAGAN VOTES,RONALD REAGAN %,RONALD REAGAN EV,WALTER MONDALE VOTES,WALTER MONDALE %,WALTER MONDALE EV
Alabama,1441713,872849,60.5,9,551899,38.3, 
Alaska,207605,138377,66.7,3,62007,29.9, 
Arizona,1025897,681416,66.4,7,333854,32.5, 
Arkansas,884406,534774,60.5,6,338646,38.3, 
California,9505423,5467009,57.5,47,3922519,41.3, 
Colorado,1295380,821817,63.4,8,454975,35.1, 
Connecticut,1466900,890877,60.7,8,569597,38.8, 
Delaware,254572,152190,59.8,3,101656,39.9, 
Florida,4180051,2730350,65.3,21,1448816,34.7, 
Georgia,1776120,1068722,60.2,12,706628,39.8, 
Hawaii,335846,185050,55.1,4,147154,43.8, 
Idaho,411144,297523,72.4,4,108510,26.4, 
Illinois,4819088,2707103,56.2,24,2086499,43.3, 
Indiana,2233069,1377230,61.7,12,841481,37.7, 
Iowa,1319805,703088,53.3,8,605620,45.9, 
Kansas,1021991,677296,66.3,7,333149,32.6, 
Kentucky,1369345,821702,60.0,9,539539,39.4, 
Louisiana,1706822,1037299,60.8,10,651586,38.2, 
Maine,553144,336500,60.8,4,214515,38.8, 
Maryland,1675873,879918,52.5,10,787935,47.0, 
Massachusetts,2559453,1310936,51.2,13,1239606,48.4, 
Michigan,3801658,2251571,59.2,20,1529638,40.2, 
Minnesota,2084449,1032603,49.5, ,1036364,49.7,10
Mississippi,941104,582377,61.9,7,352192,37.4, 
Missouri,2122783,1274188,60.0,11,848583,40.0, 
Montana,384377,232450,60.5,4,146742,38.2, 
Nebraska,652090,460054,70.6,5,187866,28.8, 
Nevada,286667,188770,65.8,4,91655,32.0, 
New Hampshire,389066,267051,68.6,4,120395,30.9, 
New Jersey,3217862,1933630,60.1,16,1261323,39.2, 
New Mexico,514370,307101,59.7,5,201769,39.2, 
New York,6806810,3664763,53.8,36,3119609,45.8, 
North Carolina,2175361,1346481,61.9,13,824287,37.9, 
North Dakota,308971,200336,64.8,3,104429,33.8, 
Ohio,4547619,2678560,58.9,23,1825440,40.1, 
Oklahoma,1255676,861530,68.6,8,385080,30.7, 
Oregon,1226527,685700,55.9,7,536479,43.7, 
Pennsylvania,4844903,2584323,53.3,25,2228131,46.0, 
Rhode Island,410492,212080,51.7,4,197106,48.0, 
South Carolina,968529,615539,63.6,8,344459,35.6, 
South Dakota,317867,200267,63.0,3,116113,36.5, 
Tennessee,1711994,990212,57.8,11,711714,41.6, 
Texas,5397571,3433428,63.6,29,1949276,36.1, 
Utah,629656,469105,74.5,5,155369,24.7, 
Vermont,234561,135865,57.9,3,95730,40.8, 
Virginia,2146635,1337078,62.3,12,796250,37.1, 
Washington,1883910,1051670,55.8,10,807352,42.9, 
West Virginia,735742,405483,55.1,6,328125,44.6, 
Wisconsin,2211689,1198584,54.2,11,995740,45.0, 
Wyoming,188968,133241,70.5,3,53370,28.2, 
Totals,92652842,54455075,58.8,525,37577185,40.6,13
