STATE,TOTAL VOTES,GEORGE HW BUSH VOTES,GEORGE HW BUSH %,GEORGE HW BUSH EV,MICHAEL S. DUKAKIS VOTES,MICHAEL S. DUKAKIS %,MICHAEL S. DUKAKIS EV
Alabama,1378476,815576,59.2,9,549506,39.9, 
Alaska,200116,119251,59.6,3,72584,36.3, 
Arizona,1171873,702541,60.0,7,454029,38.7, 
Arkansas,827738,466578,56.4,6,349237,42.2, 
California,9887065,5054917,51.1,47,4702233,47.6, 
Colorado,1372394,728177,53.1,8,621453,45.3, 
Connecticut,1443394,750241,52.0,8,676584,46.9, 
Delaware,249891,139639,55.9,3,108647,43.5, 
Florida,4302313,2618885,60.9,21,1656701,38.5, 
Georgia,1809672,1081331,59.8,12,714792,39.5, 
Hawaii,354461,158625,44.8, ,192364,54.3,4
Idaho,408968,253881,62.1,4,147272,36.0, 
Illinois,4559120,2310939,50.7,24,2215940,48.6, 
Indiana,2168621,1297763,59.8,12,860643,39.7, 
Iowa,1225614,545355,44.5, ,670557,54.7,8
Kansas,993044,554049,55.8,7,422636,42.6, 
Kentucky,1322517,734281,55.5,9,580368,43.9, 
Louisiana,1628202,883702,54.3,10,717460,44.1, 
Maine,555035,307131,55.3,4,243569,43.9, 
Maryland,1714358,876167,51.1,10,826304,48.2, 
Massachusetts,2632805,1194635,45.4, ,1401415,53.2,13
Michigan,3669163,1965486,53.6,20,1675783,45.7, 
Minnesota,2096790,962337,45.9, ,1109471,52.9,10
Mississippi,931527,557890,59.9,7,363921,39.1, 
Missouri,2093713,1084953,51.8,11,1001619,47.8, 
Montana,365674,190412,52.1,4,168936,46.2, 
Nebraska,661465,397956,60.2,5,259235,39.2, 
Nevada,350067,206040,58.9,4,132738,37.9, 
New Hampshire,451074,281537,62.4,4,163696,36.3, 
New Jersey,3099553,1743192,56.2,16,1320352,42.6, 
New Mexico,521287,270341,51.9,5,244497,46.9, 
New York,6485683,3081871,47.5, ,3347882,51.6,36
North Carolina,2134370,1237258,58.0,13,890167,41.7, 
North Dakota,297261,166559,56.0,3,127739,43.0, 
Ohio,4393699,2416549,55.0,23,1939629,44.1, 
Oklahoma,1171036,678367,57.9,8,483423,41.3, 
Oregon,1201694,560126,46.6, ,616206,51.3,7
Pennsylvania,4536251,2300087,50.7,25,2194944,48.4, 
Rhode Island,404620,177761,43.9, ,225123,55.6,4
South Carolina,986009,606443,61.5,8,370554,37.6, 
South Dakota,312991,165415,52.8,3,145560,46.5, 
Tennessee,1636250,947233,57.9,11,679794,41.5, 
Texas,5427410,3036829,56.0,29,2352748,43.3, 
Utah,647008,428442,66.2,5,207343,32.0, 
Vermont,243328,124331,51.1,3,115775,47.6, 
Virginia,2191609,1309162,59.7,12,859799,39.2, 
Washington,1865253,903835,48.5, ,933516,50.0,10
West Virginia*,653311,310065,47.5, ,341016,52.2,5*
Wisconsin,2191608,1047499,47.8, ,1126794,51.4,11
Wyoming,176551,106867,60.5,3,67113,38.0, 
Totals,91594809,48886097,53.4,426,41809074,45.6,111
