STATE,TOTAL VOTES,GEORGE W. BUSH VOTES,GEORGE W. BUSH %,GEORGE W. BUSH EV,AL GORE VOTES,AL GORE %,AL GORE EV,RALPH NADER VOTES,RALPH NADER %,RALPH NADER EV
Alabama,1666272,941173,56.5,9,692611,41.6,,18323,1.1,
Alaska,285560,167398,58.6,3,79004,27.7,,28747,10.1,
Arizona,1532016,781652,51.0,8,685341,44.7,,45645,3.0,
Arkansas,921781,472940,51.3,6,422768,45.9,,13421,1.5,
California,10965856,4567429,41.7,,5861203,53.4,54,418707,3.8,
Colorado,1741368,883748,50.8,8,738227,42.4,,91434,5.3,
Connecticut,1459525,561094,38.4,,816015,55.9,8,64452,4.4,
Delaware,327622,137288,41.9,,180068,55.0,3,8307,2.5,
Florida,5963110,2912790,48.8,25,2912253,48.8,,97488,1.6,
Georgia,2596645,1419720,54.7,13,1116230,43.0,,13273,0.5,
Hawaii,367951,137845,37.5,,205286,55.8,4,21623,5.9,
Idaho,501621,336937,67.2,4,138637,27.6,,12292,2.5,
Illinois,4742123,2019421,42.6,,2589026,54.6,22,103759,2.2,
Indiana,2199302,1245836,56.6,12,901980,41.0,,18531,0.8,
Iowa,1315563,634373,48.2,,638517,48.5,7,29374,2.2,
Kansas,1072218,622332,58.0,6,399276,37.2,,36086,3.4,
Kentucky,1544187,872492,56.5,8,638898,41.4,,23192,1.5,
Louisiana,1765656,927871,52.6,9,792344,44.9,,20473,1.2,
Maine,651817,286616,44.0,,319951,49.1,4,37127,5.7,
Maryland,2020480,813797,40.3,,1140782,56.5,10,53768,2.7,
Massachusetts,2702984,878502,32.5,,1616487,59.8,12,173564,6.4,
Michigan,4232711,1953139,46.1,,2170418,51.3,18,84165,2.0,
Minnesota,2438685,1109659,45.5,,1168266,47.9,10,126696,5.2,
Mississippi,994184,572844,57.6,7,404614,40.7,,8122,0.8,
Missouri,2359892,1189924,50.4,11,1111138,47.1,,38515,1.6,
Montana,410997,240178,58.4,3,137126,33.4,,24437,5.9,
Nebraska,697019,433862,62.2,5,231780,33.3,,24540,3.5,
Nevada,608970,301575,49.5,4,279978,46.0,,15008,2.5,
New Hampshire,569081,273559,48.1,4,266348,46.8,,22198,3.9,
New Jersey,3187226,1284173,40.3,,1788850,56.1,15,94554,3.0,
New Mexico,598605,286417,47.8,,286783,47.9,5,21251,3.6,
New York,6821999,2403374,35.2,,4107697,60.2,33,244030,3.6,
North Carolina,2911262,1631163,56.0,14,1257692,43.2,,0,0.0,
North Dakota,288256,174852,60.7,3,95284,33.1,,9486,3.3,
Ohio,4701998,2350363,50.0,21,2183628,46.4,,117799,2.5,
Oklahoma,1234229,744337,60.3,8,474276,38.4,,0,0.0,
Oregon,1533968,713577,46.5,,720342,47.0,7,77357,5.0,
Pennsylvania,4913119,2281127,46.4,,2485967,50.6,23,103392,2.1,
Rhode Island,409047,130555,31.9,,249508,61.0,4,25052,6.1,
South Carolina,1382717,785937,56.8,8,565561,40.9,,20200,1.5,
South Dakota,316269,190700,60.3,3,118804,37.6,,0,0.0,
Tennessee,2076181,1061949,51.1,11,981720,47.3,,19781,1.0,
Texas,6407637,3799639,59.3,32,2433746,38.0,,137994,2.2,
Utah,770754,515096,66.8,5,203053,26.3,,35850,4.7,
Vermont,294308,119775,40.7,,149022,50.6,3,20374,6.9,
Virginia,2739447,1437490,52.5,13,1217290,44.4,,59398,2.2,
Washington,2487433,1108864,44.6,,1247652,50.2,11,103002,4.1,
West Virginia,648124,336475,51.9,5,295497,45.6,,10680,1.6,
Wisconsin,2598607,1237279,47.6,,1242987,47.8,11,94070,3.6,
Wyoming,218351,147947,67.8,3,60481,27.7,,4625,2.1,
Totals,105396627,50455156,47.9,271,50992335,48.4,266,2882738,2.7,0
