STATE,TOTAL VOTES,GEORGE W. BUSH VOTES,GEORGE W. BUSH %,GEORGE W. BUSH EV,JOHN KERRY VOTES,JOHN KERRY %,JOHN KERRY EV
Alabama,1883449,1176394,62.5,9,693933,36.8, 
Alaska,312598,190889,61.1,3,111025,35.5, 
Arizona,2012585,1104294,54.9,10,893524,44.4, 
Arkansas,1054945,572898,54.3,6,469953,44.5, 
California,12421852,5509826,44.4, ,6745485,54.3,55
Colorado,2130330,1101255,51.7,9,1001732,47.0, 
Connecticut,1578769,693826,43.9, ,857488,54.3,7
Delaware,375190,171660,45.8, ,200152,53.3,3
Florida,7609810,3964522,52.1,27,3583544,47.1, 
Georgia,3301875,1914254,58.0,15,1366149,41.4, 
Hawaii,429013,194191,45.3, ,231708,54.0,4
Idaho,598447,409235,68.4,4,181098,30.3, 
Illinois,5274322,2345946,44.5, ,2891550,54.8,21
Indiana,2468002,1479438,59.9,11,969011,39.3, 
Iowa,1506908,751957,49.9,7,741898,49.2, 
Kansas,1187756,736456,62.0,6,434993,36.6, 
Kentucky,1795882,1069439,59.5,8,712733,39.7, 
Louisiana,1943106,1102169,56.7,9,820299,42.2, 
Maine,740752,330201,44.6, ,396842,53.6,4
Maryland,2386678,1024703,42.9, ,1334493,55.9,10
Massachusetts,2912388,1071109,36.8, ,1803800,61.9,12
Michigan,4839252,2313746,47.8, ,2479183,51.2,17
Minnesota*,2828387,1346695,47.6, ,1445014,51.1,9*
Mississippi,1152145,684981,59.5,6,458094,39.8, 
Missouri,2731364,1455713,53.3,11,1259171,46.1, 
Montana,450445,266063,59.1,3,173710,38.6, 
Nebraska,778186,512814,65.9,5,254328,32.7, 
Nevada,829587,418690,50.5,5,397190,47.9, 
New Hampshire,677738,331237,48.9, ,340511,50.2,4
New Jersey,3611691,1670003,46.2, ,1911430,52.9,15
New Mexico,756304,376930,49.8,5,370942,49.0, 
New York,7391036,2962567,40.1, ,4314280,58.4,31
North Carolina,3501007,1961166,56.0,15,1525849,43.6, 
North Dakota,312833,196651,62.9,3,111052,35.5, 
Ohio,5627908,2859768,50.8,20,2741167,48.7, 
Oklahoma,1463758,959792,65.6,7,503966,34.4, 
Oregon,1836782,866831,47.2, ,943163,51.3,7
Pennsylvania,5769590,2793847,48.4, ,2938095,50.9,21
Rhode Island,437134,169046,38.7, ,259765,59.4,4
South Carolina,1617730,937974,58.0,8,661699,40.9, 
South Dakota,388215,232584,59.9,3,149244,38.4, 
Tennessee,2437319,1384375,56.8,11,1036477,42.5, 
Texas,7410765,4526917,61.1,34,2832704,38.2, 
Utah,927844,663742,71.5,5,241199,26.0, 
Vermont,312309,121180,38.8, ,184067,58.9,3
Virginia,3198367,1716959,53.7,13,1454742,45.5, 
Washington,2859084,1304894,45.6, ,1510201,52.8,11
West Virginia,755887,423778,56.1,5,326541,43.2, 
Wisconsin,2997007,1478120,49.3, ,1489504,49.7,10
Wyoming,243428,167629,68.9,3,70776,29.1, 
Totals,122295345,62040610,50.7,286,59028444,48.3,251
