STATE,TOTAL VOTES,BARACK OBAMA VOTES,BARACK OBAMA %,BARACK OBAMA EV,MITT ROMNEY VOTES,MITT ROMNEY %,MITT ROMNEY EV
Alabama,2074338,795696,38.4%, ,1255925,60.5%,9
Alaska,300495,122640,40.8%, ,164676,54.8%,3
Arizona,2299254,1025232,44.6%, ,1233654,53.7%,11
Arkansas,1069468,394409,36.9%, ,647744,60.6%,6
California,13038547,7854285,60.2%,55,4839958,37.1%, 
Colorado,2569520,1323101,51.5%,9,1185243,46.1%, 
Connecticut,1558960,905083,58.1%,7,634892,40.7%, 
Delaware,413921,242584,58.6%,3,165484,40.0%, 
Florida,8474179,4237756,50.0%,29,4163447,49.1%, 
Georgia,3900050,1773827,45.5%, ,2078688,53.3%,16
Hawaii,434697,306658,70.5%,4,121015,27.8%, 
Idaho,652274,212787,32.6%, ,420911,64.5%,4
Illinois,5242014,3019512,57.6%,20,2135216,40.7%, 
Indiana,2624534,1152887,43.9%, ,1420543,54.1%,11
Iowa,1582180,822544,52.0%,6,730617,46.2%, 
Kansas,1159971,440726,38.0%, ,692634,59.7%,6
Kentucky,1797212,679370,37.8%, ,1087190,60.5%,8
Louisiana,1994065,809141,40.6%, ,1152262,57.8%,8
Maine,713180,401306,56.3%,4,292276,41.0%, 
Maryland,2707327,1677844,62.0%,10,971869,35.9%, 
Massachusetts,3167767,1921290,60.7%,11,1188314,37.5%, 
Michigan,4730961,2564569,54.2%,16,2115256,44.7%, 
Minnesota,2936561,1546167,52.7%,10,1320225,45.0%, 
Mississippi,1285584,562949,43.8%, ,710746,55.3%,6
Missouri,2757323,1223796,44.4%, ,1482440,53.8%,10
Montana,484048,201839,41.7%, ,267928,55.4%,3
Nebraska,794379,302081,38.0%, ,475064,59.8%,5
Nevada,1014918,531373,52.4%,6,463567,45.7%, 
New Hampshire,710972,369561,52.0%,4,329918,46.5%, 
New Jersey,3638499,2122786,58.3%,14,1478088,40.6%, 
New Mexico,783758,415335,53.0%,5,335788,42.8%, 
New York,7061925,4471871,63.4%,29,2485432,35.2%, 
North Carolina,4505372,2178391,48.4%, ,2270395,50.4%,15
North Dakota,322932,124966,38.7%, ,188320,58.3%,3
Ohio,5580822,2827621,50.7%,18,2661407,47.7%, 
Oklahoma,1334872,443547,33.2%, ,891325,66.8%,7
Oregon,1789270,970488,54.2%,7,754175,42.1%, 
Pennsylvania,5753670,2990274,52.1%,20,2680434,46.7%, 
Rhode Island,446049,279677,62.7%,4,157204,35.2%, 
South Carolina,1964118,865941,44.1%, ,1071645,54.6%,9
South Dakota,363815,145039,39.9%, ,210610,57.9%,3
Tennessee,2458577,960709,39.1%, ,1462330,59.5%,11
Texas,7993851,3308124,41.4%, ,4569843,57.2%,38
Utah,1017440,251813,24.7%, ,740600,72.8%,6
Vermont,299290,199239,66.6%,3,92698,31.0%, 
Virginia,3854490,1971820,51.2%,13,1822522,47.3%, 
Washington,3125516,1755396,56.2%,12,1290670,41.3%, 
West Virginia,670438,238269,35.5%, ,417655,62.3%,5
Wisconsin,3071434,1620985,52.9%,10,1410966,46.0%, 
Wyoming,249061,69286,27.8%, ,170962,68.6%,3
Totals,129067662,65899660,51.1%,332,60932152,47.2%,206
