STATE,TOTAL VOTES,HILLARY CLINTON VOTES,HILLARY CLINTON %,HILLARY CLINTON EV,DONALD TRUMP VOTES,DONALD TRUMP %,DONALD TRUMP EV,GARY JOHNSON VOTES,GARY JOHNSON %,GARY JOHNSON EV
Alabama,2123372,729547,34.4%, ,1318255,62.1%,9,44467,2.1%, 
Alaska,318608,116454,36.6%, ,163387,51.3%,3,18725,5.9%, 
Arizona,2573165,1161167,45.1%, ,1252401,48.7%,11,106327,4.1%, 
Arkansas,1130635,380494,33.7%, ,684872,60.6%,6,29829,2.6%, 
California,14181595,8753788,61.7%,55,4483810,31.6%, ,478500,3.4%, 
Colorado,2780220,1338870,48.2%,9,1202484,43.3%, ,144121,5.2%, 
Connecticut,1644920,897572,54.6%,7,673215,40.9%, ,48676,3.0%, 
Delaware,441590,235603,53.4%,3,185127,41.9%, ,14757,3.3%, 
Florida,9420039,4504975,47.8%, ,4617886,49.0%,29,207043,2.2%, 
Georgia,4092373,1877963,45.9%, ,2089104,51.0%,16,125306,3.1%, 
Hawaii,428937,266891,62.2%,3*,128847,30.0%, ,15954,3.7%, 
Idaho,690255,189765,27.5%, ,409055,59.3%,4,28331,4.1%, 
Illinois,5536424,3090729,55.8%,20,2146015,38.8%, ,209596,3.8%, 
Indiana,2734958,1033126,37.8%, ,1557286,56.9%,11,133993,4.9%, 
Iowa,1566031,653669,41.7%, ,800983,51.1%,6,59186,3.8%, 
Kansas,1184402,427005,36.1%, ,671018,56.7%,6,55406,4.7%, 
Kentucky,1924149,628854,32.7%, ,1202971,62.5%,8,53752,2.8%, 
Louisiana,2029032,780154,38.4%, ,1178638,58.1%,8,37978,1.9%, 
Maine,747927,357735,47.8%,3,335593,44.9%,1,38105,5.1%, 
Maryland,2781446,1677928,60.3%,10,943169,33.9%, ,79605,2.9%, 
Massachusetts,3325046,1995196,60.0%,11,1090893,32.8%, ,138018,4.2%, 
Michigan,4799284,2268839,47.3%, ,2279543,47.5%,16,172136,3.6%, 
Minnesota,2944813,1367716,46.4%,10,1322951,44.9%, ,112972,3.8%, 
Mississippi,1209357,485131,40.1%, ,700714,57.9%,6,14435,1.2%, 
Missouri,2808605,1071068,38.1%, ,1594511,56.8%,10,97359,3.5%, 
Montana,494526,177709,35.9%, ,279240,56.5%,3,28037,5.7%, 
Nebraska,844227,284494,33.7%, ,495961,58.7%,2,38946,4.6%, 
CD-1,282338,100126,35.5%, ,158626,56.2%,1,14031,5.0%, 
CD-2,291680,131030,44.9%, ,137564,47.2%,1,13245,4.5%, 
CD-3,270109,53290,19.7%, ,199657,73.9%,1,11657,4.3%, 
Nevada,1125385,539260,47.9%,6,512058,45.5%, ,37384,3.3%, 
New Hampshire,744296,348526,46.8%,4,345790,46.5%, ,30777,4.1%, 
New Jersey,3874046,2148278,55.5%,14,1601933,41.4%, ,72477,1.9%, 
New Mexico,798318,385234,48.3%,5,319666,40.0%, ,74541,9.3%, 
New York,7721453,4556124,59.0%,29,2819534,36.5%, ,176598,2.3%, 
North Carolina,4741564,2189316,46.2%, ,2362631,49.8%,15,130126,2.7%, 
North Dakota,344360,93758,27.2%, ,216794,63.0%,3,21434,6.2%, 
Ohio,5496487,2394164,43.6%, ,2841005,51.7%,18,174498,3.2%, 
Oklahoma,1452992,420375,28.9%, ,949136,65.3%,7,83481,5.7%, 
Oregon,2001336,1002106,50.1%,7,782403,39.1%, ,94231,4.7%, 
Pennsylvania,6115402,2926441,47.9%, ,2970733,48.6%,20,146715,2.4%, 
Rhode Island,464144,252525,54.4%,4,180543,38.9%, ,14746,3.2%, 
South Carolina,2103027,855373,40.7%, ,1155389,54.9%,9,49204,2.3%, 
South Dakota,370093,117458,31.7%, ,227721,61.5%,3,20850,5.6%, 
Tennessee,2508027,870695,34.7%, ,1522925,60.7%,11,70397,2.8%, 
Texas,8969226,3877868,43.2%, ,4685047,52.2%,36*,283492,3.2%, 
Utah,1131430,310676,27.5%, ,515231,45.5%,6,39608,3.5%, 
Vermont,315067,178573,56.7%,3,95369,30.3%, ,10078,3.2%, 
Virginia,3982752,1981473,49.8%,13,1769443,44.4%, ,118274,3.0%, 
Washington,3209214,1742718,54.3%,8*,1221747,38.1%, ,160879,5.0%, 
West Virginia,713051,188794,26.5%, ,489371,68.6%,5,23004,3.2%, 
Wisconsin,2976150,1382536,46.5%, ,1405284,47.2%,10,106674,3.6%, 
Wyoming,255849,55973,21.9%, ,174419,68.2%,3,13287,5.2%, 
Totals,136559088,65853516,48.2%,227,62984824,46.1%,304,4489221,3.3%,0
